Loan_ID,Gender,Marital_Status,Dependents,Education,Employment_Status,Job_Tenure,Industry,Applicant_Annual_Income,CoApplicant_Annual_Income,Other_Income,Monthly_Debt_Obligations,Credit_Tier,Credit_Score,Bankruptcy_History,Late_Payments_2yr,Credit_Utilization_Pct,Loan_Type,Loan_Purpose,Loan_Amount_K,Loan_Term_Months,Down_Payment_Pct,Property_Area,Collateral,Loan_Status
NV0000052,Female,Married,2,Doctoral Degree,Full-time Employee,2-5 years,Finance,43069,42000,0,200,Exceptional (800-850),825,None,0,20,Debt Consolidation,Business Capital,75,360,30.0,Urban,Vehicle,Approved
NV0000053,Non-binary,Single,2,Bachelor's Degree,Unemployed,10+ years,Legal,67894,0,0,800,Very Good (740-799),770,None,0,65,Home Refinance,Major Purchase,150,360,5.0,Semiurban,Vehicle,Approved
NV0000054,Female,Divorced,1,Bachelor's Degree,Independent Contractor,2-5 years,Other,74540,0,0,1500,Good (670-739),705,None,0,20,Debt Consolidation,Medical,40,360,20.0,Urban,Vehicle,Approved
NV0000055,Female,Domestic Partnership,2,Master's Degree,Freelancer,2-5 years,Retail,212700,28000,0,1000,Very Good (740-799),770,None,0,45,Home Purchase,Investment Property,75,360,20.0,Urban,Vehicle,Approved
NV0000056,Non-binary,Married,0,Bachelor's Degree,Full-time Employee,2-5 years,Construction,85531,0,0,500,Very Good (740-799),770,None,0,20,Home Purchase,Debt Consolidation,600,120,0.0,Rural,None (Unsecured),Rejected
NV0000057,Male,Married,2,Bachelor's Degree,Full-time Employee,2-5 years,Healthcare,74981,15000,0,1000,Good (670-739),705,None,0,5,Auto Loan,Primary Residence,40,360,20.0,Rural,Investment Portfolio,Approved
NV0000058,Male,Married,0,Bachelor's Degree,Full-time Employee,5-10 years,Finance,39273,0,0,3000,Poor (500-579),540,None,0,5,Business Loan,Business Capital,150,180,25.0,Urban,Real Estate,Rejected
NV0000059,Male,Married,3,Master's Degree,Part-time Employee,2-5 years,Government,82772,42000,0,3000,Very Good (740-799),770,None,1,5,Personal Loan,Debt Consolidation,25,180,5.0,Semiurban,Vehicle,Approved
NV0000060,Male,Married,4,Master's Degree,Self-Employed,2-5 years,Other,50462,42000,0,2000,Exceptional (800-850),825,None,0,20,Debt Consolidation,Home Improvement,20,360,25.0,Semiurban,Investment Portfolio,Approved
NV0000061,Male,Single,0,Bachelor's Degree,Independent Contractor,1-2 years,Education,128171,0,0,5000,Good (670-739),705,None,1,45,Auto Loan,Business Capital,200,480,5.0,Urban,Investment Portfolio,Rejected
NV0000062,Male,Married,0,Bachelor's Degree,Full-time Employee,<6 months,Legal,52377,42000,0,1000,Fair (580-669),625,None,0,5,Home Purchase,Investment Property,250,360,0.0,Semiurban,Vehicle,Approved
NV0000063,Female,Domestic Partnership,2,Bachelor's Degree,Retired,5-10 years,Government,56044,15000,0,0,Exceptional (800-850),825,None,0,45,Home Purchase,Debt Consolidation,150,360,3.5,Rural,Real Estate,Approved
NV0000064,Male,Married,0,Bachelor's Degree,Full-time Employee,1-2 years,Technology,55236,0,3000,500,Very Good (740-799),770,None,0,20,Personal Loan,Major Purchase,20,240,25.0,Urban,Real Estate,Approved
NV0000065,Male,Single,3,Associate Degree,Unemployed,1-2 years,Education,128561,0,0,500,Exceptional (800-850),825,Active/Pending,3,45,Personal Loan,Medical,30,60,10.0,Rural,Real Estate,Rejected
NV0000066,Male,Married,0,Master's Degree,Full-time Employee,5-10 years,Other,201992,28000,0,1000,Exceptional (800-850),825,None,0,45,Home Refinance,Major Purchase,400,180,20.0,Semiurban,Vehicle,Approved
NV0000067,Male,Single,0,Bachelor's Degree,Part-time Employee,5-10 years,Manufacturing,40400,0,0,4000,Good (670-739),705,None,0,45,Personal Loan,Primary Residence,30,360,20.0,Suburban,Real Estate,Rejected
NV0000068,Female,Single,4,Bachelor's Degree,Full-time Employee,5-10 years,Manufacturing,68975,0,0,3000,Very Good (740-799),770,None,1,20,Home Purchase,Medical,250,120,20.0,Urban,Business Assets,Rejected
NV0000069,Male,Single,2,High School,Part-time Employee,2-5 years,Other,101365,0,0,200,Fair (580-669),625,None,3,20,Debt Consolidation,Primary Residence,30,360,25.0,Suburban,Real Estate,Approved
NV0000070,Prefer not to say,Married,3,Associate Degree,Self-Employed,10+ years,Manufacturing,167405,28000,0,1000,Good (670-739),705,None,4,45,Home Refinance,Medical,500,180,10.0,Urban,None (Unsecured),Rejected
NV0000071,Female,Married,0,Doctoral Degree,Part-time Employee,10+ years,Retail,64478,0,0,1500,Good (670-739),705,None,0,5,HELOC,Debt Consolidation,400,360,25.0,Semiurban,Real Estate,Approved
NV0000072,Male,Married,2,Associate Degree,Full-time Employee,5-10 years,Finance,23412,58000,8000,7500,Very Good (740-799),770,None,0,20,Home Purchase,Major Purchase,10,360,3.5,Urban,Real Estate,Rejected
NV0000073,Male,Single,1,High School,Business Owner,5-10 years,Healthcare,50607,0,0,0,Good (670-739),705,None,1,5,Debt Consolidation,Debt Consolidation,200,360,20.0,Suburban,Vehicle,Approved
NV0000074,Female,Domestic Partnership,1,Bachelor's Degree,Independent Contractor,2-5 years,Finance,61475,28000,8000,800,Exceptional (800-850),825,None,0,45,Debt Consolidation,Home Improvement,25,240,20.0,Rural,Real Estate,Approved
NV0000075,Female,Domestic Partnership,2,Associate Degree,Government/Military,10+ years,Legal,54344,58000,5000,7500,Poor (500-579),540,Discharged 7+ years ago,1,45,Home Refinance,Business Capital,25,360,25.0,Urban,None (Unsecured),Rejected
NV0000076,Female,Domestic Partnership,1,High School,Full-time Employee,1-2 years,Finance,33026,28000,5000,7500,No History,300,None,2,45,Business Loan,Investment Property,50,360,5.0,Urban,Real Estate,Rejected
NV0000077,Female,Single,1,Bachelor's Degree,Self-Employed,1-2 years,Finance,16814,0,5000,500,Exceptional (800-850),825,None,1,20,Debt Consolidation,Major Purchase,100,360,20.0,Urban,Vehicle,Approved
NV0000078,Male,Married,0,Bachelor's Degree,Self-Employed,2-5 years,Technology,81553,80000,0,0,Exceptional (800-850),825,None,0,5,Auto Loan,Vacation Home,40,360,10.0,Urban,None (Unsecured),Approved
NV0000079,Male,Widowed,2,Bachelor's Degree,Full-time Employee,<6 months,Healthcare,423944,0,0,1000,Exceptional (800-850),825,Discharged under 2 years,0,65,Auto Loan,Major Purchase,100,120,10.0,Rural,Real Estate,Approved
NV0000080,Male,Married,0,Bachelor's Degree,Part-time Employee,10+ years,Finance,165052,58000,0,3500,Good (670-739),705,None,1,20,Personal Loan,Home Improvement,25,360,3.5,Rural,Real Estate,Approved
NV0000081,Female,Single,2,Bachelor's Degree,Full-time Employee,5-10 years,Healthcare,80142,0,0,500,Good (670-739),705,None,0,20,Home Purchase,Major Purchase,10,360,3.5,Suburban,Real Estate,Approved
NV0000082,Female,Single,0,Doctoral Degree,Full-time Employee,2-5 years,Construction,121237,0,0,4000,Fair (580-669),625,None,0,20,Personal Loan,Home Improvement,100,360,25.0,Suburban,Vehicle,Approved
NV0000083,Male,Married,2,Bachelor's Degree,Full-time Employee,5-10 years,Manufacturing,44601,28000,5000,500,Fair (580-669),625,None,0,5,Personal Loan,Major Purchase,75,360,20.0,Rural,Real Estate,Approved
NV0000084,Male,Divorced,2,Associate Degree,Full-time Employee,2-5 years,Government,79011,0,0,1500,Good (670-739),705,None,0,5,Personal Loan,Home Improvement,150,120,10.0,Urban,Vehicle,Approved
NV0000085,Male,Married,0,Associate Degree,Independent Contractor,<6 months,Technology,26421,28000,0,2000,Good (670-739),705,None,0,20,Debt Consolidation,Medical,100,84,25.0,Semiurban,Business Assets,Rejected
NV0000086,Male,Married,0,Bachelor's Degree,Independent Contractor,5-10 years,Manufacturing,104527,58000,3000,500,Good (670-739),705,None,2,5,Home Purchase,Primary Residence,300,240,0.0,Semiurban,None (Unsecured),Approved
NV0000087,Female,Single,0,Master's Degree,Unemployed,5-10 years,Healthcare,294166,0,0,500,Good (670-739),705,None,0,5,Education Loan,Debt Consolidation,50,480,20.0,Semiurban,Real Estate,Approved
NV0000088,Female,Married,1,Associate Degree,Business Owner,2-5 years,Manufacturing,172538,0,0,800,Good (670-739),705,None,0,65,HELOC,Business Capital,10,60,25.0,Rural,Real Estate,Approved
NV0000089,Female,Domestic Partnership,3,Bachelor's Degree,Full-time Employee,5-10 years,Finance,67587,42000,0,3000,Good (670-739),705,Discharged 7+ years ago,0,20,Home Purchase,Major Purchase,100,360,25.0,Suburban,Real Estate,Approved
NV0000090,Male,Married,0,High School,Government/Military,1-2 years,Government,92544,42000,5000,0,Good (670-739),705,None,0,20,Home Refinance,Investment Property,150,360,10.0,Suburban,Vehicle,Approved
NV0000091,Male,Married,2,Bachelor's Degree,Government/Military,1-2 years,Finance,200102,42000,0,1500,Good (670-739),705,None,3,45,Home Purchase,Primary Residence,75,360,20.0,Urban,Real Estate,Approved
NV0000092,Female,Divorced,0,Master's Degree,Part-time Employee,1-2 years,Legal,29620,0,3000,1500,Good (670-739),705,Discharged 2-7 years ago,2,85,Education Loan,Home Improvement,150,180,10.0,Urban,Business Assets,Rejected
NV0000093,Female,Single,1,Bachelor's Degree,Self-Employed,2-5 years,Finance,118798,0,0,1000,Fair (580-669),625,None,0,5,Debt Consolidation,Investment Property,40,180,25.0,Suburban,Investment Portfolio,Approved
NV0000094,Female,Married,3,Bachelor's Degree,Unemployed,10+ years,Government,39052,58000,8000,4000,Good (670-739),705,None,1,65,Personal Loan,Primary Residence,20,360,20.0,Suburban,Real Estate,Rejected
NV0000095,Female,Single,0,Associate Degree,Self-Employed,10+ years,Education,160041,0,0,1500,Good (670-739),705,None,0,20,Business Loan,Business Capital,150,120,20.0,Urban,Investment Portfolio,Approved
NV0000096,Male,Married,1,Master's Degree,Retired,2-5 years,Construction,23112,42000,3000,1500,Good (670-739),705,None,4,5,Auto Loan,Vacation Home,30,84,0.0,Rural,Real Estate,Manual Review
NV0000097,Male,Married,0,High School,Full-time Employee,5-10 years,Healthcare,31859,28000,12000,1000,Good (670-739),705,None,0,20,Personal Loan,Major Purchase,50,84,20.0,Rural,Real Estate,Approved
NV0000098,Male,Married,0,Master's Degree,Full-time Employee,5-10 years,Construction,106381,80000,0,2000,Very Good (740-799),770,None,0,20,Auto Loan,Major Purchase,75,360,20.0,Semiurban,Real Estate,Approved
NV0000099,Male,Married,0,Associate Degree,Part-time Employee,1-2 years,Legal,33272,28000,0,0,Exceptional (800-850),825,None,0,45,HELOC,Home Improvement,50,360,20.0,Urban,Real Estate,Approved
NV0000100,Male,Married,0,Master's Degree,Self-Employed,1-2 years,Construction,34273,80000,0,3500,Good (670-739),705,None,2,5,Home Purchase,Primary Residence,100,240,20.0,Suburban,Investment Portfolio,Manual Review
NV0000101,Male,Divorced,2,Bachelor's Degree,Freelancer,10+ years,Manufacturing,62157,0,0,0,Good (670-739),705,None,0,20,Auto Loan,Business Capital,10,240,25.0,Rural,Vehicle,Approved
NV0000102,Female,Married,1,Master's Degree,Unemployed,5-10 years,Other,125621,42000,5000,1500,Very Poor (300-499),420,None,1,45,Personal Loan,Primary Residence,800,180,20.0,Urban,Real Estate,Rejected
NV0000103,Male,Single,1,Associate Degree,Full-time Employee,10+ years,Technology,40780,0,0,1500,Very Good (740-799),770,None,0,20,Home Refinance,Home Improvement,150,360,5.0,Rural,None (Unsecured),Manual Review
NV0000104,Male,Married,0,Master's Degree,Full-time Employee,2-5 years,Government,124876,28000,8000,200,Very Good (740-799),770,Discharged under 2 years,3,65,Personal Loan,Vacation Home,50,180,25.0,Rural,Vehicle,Rejected
NV0000105,Female,Married,0,High School,Freelancer,5-10 years,Technology,126141,42000,3000,0,Very Good (740-799),770,None,0,65,Education Loan,Major Purchase,25,360,3.5,Suburban,Real Estate,Approved
NV0000106,Male,Married,2,High School,Self-Employed,1-2 years,Government,60176,15000,0,0,Exceptional (800-850),825,None,3,20,Auto Loan,Debt Consolidation,15,120,20.0,Urban,Real Estate,Approved
NV0000107,Male,Domestic Partnership,4,Bachelor's Degree,Full-time Employee,1-2 years,Healthcare,76585,80000,0,200,Fair (580-669),625,None,0,85,Personal Loan,Vacation Home,150,360,25.0,Suburban,Vehicle,Approved
NV0000108,Female,Divorced,0,High School,Part-time Employee,2-5 years,Construction,18589,0,0,3500,Very Good (740-799),770,None,0,5,Home Purchase,Home Improvement,40,84,3.5,Urban,None (Unsecured),Rejected
NV0000109,Male,Single,3,Associate Degree,Business Owner,2-5 years,Healthcare,54270,0,0,3000,Good (670-739),705,None,4,5,Personal Loan,Debt Consolidation,25,360,25.0,Rural,Vehicle,Rejected
NV0000110,Male,Widowed,1,Doctoral Degree,Freelancer,1-2 years,Finance,42466,0,0,0,Good (670-739),705,None,4,20,Auto Loan,Primary Residence,40,360,20.0,Rural,None (Unsecured),Manual Review
NV0000111,Male,Single,1,No Formal Education,Part-time Employee,1-2 years,Finance,30826,0,0,500,Good (670-739),705,None,1,45,Personal Loan,Medical,100,360,20.0,Semiurban,Vehicle,Approved
NV0000112,Male,Single,1,Bachelor's Degree,Full-time Employee,<6 months,Technology,51210,0,8000,3500,Poor (500-579),540,None,0,45,Debt Consolidation,Business Capital,150,360,10.0,Semiurban,Vehicle,Rejected
NV0000113,Non-binary,Single,0,Doctoral Degree,Unemployed,5-10 years,Retail,48639,0,0,200,Good (670-739),705,None,0,20,Business Loan,Medical,100,120,10.0,Suburban,Vehicle,Approved
NV0000114,Female,Divorced,0,Bachelor's Degree,Independent Contractor,2-5 years,Retail,107250,0,0,10000,Very Good (740-799),770,None,0,5,Auto Loan,Business Capital,300,180,30.0,Rural,Investment Portfolio,Rejected
NV0000115,Female,Married,1,Associate Degree,Full-time Employee,6-12 months,Other,84719,58000,0,200,Poor (500-579),540,None,0,5,Home Purchase,Vacation Home,25,180,5.0,Semiurban,Real Estate,Approved
NV0000116,Female,Single,0,Bachelor's Degree,Full-time Employee,1-2 years,Retail,148879,0,3000,2000,Poor (500-579),540,None,0,65,Home Purchase,Medical,100,180,20.0,Urban,None (Unsecured),Approved
NV0000117,Female,Married,3,Bachelor's Degree,Business Owner,6-12 months,Legal,30292,42000,0,800,Exceptional (800-850),825,None,0,65,Home Refinance,Vacation Home,20,240,0.0,Urban,Real Estate,Approved
NV0000118,Male,Married,1,No Formal Education,Full-time Employee,5-10 years,Manufacturing,18233,42000,0,0,Exceptional (800-850),825,None,1,45,HELOC,Medical,75,360,5.0,Urban,Vehicle,Approved
NV0000119,Female,Single,0,Associate Degree,Full-time Employee,6-12 months,Manufacturing,62217,0,8000,200,Exceptional (800-850),825,None,1,45,Auto Loan,Business Capital,100,60,20.0,Suburban,Vehicle,Approved
NV0000120,Male,Divorced,2,Bachelor's Degree,Self-Employed,5-10 years,Finance,19251,0,8000,1500,Very Good (740-799),770,None,0,20,Home Refinance,Major Purchase,25,360,10.0,Rural,Investment Portfolio,Rejected
NV0000121,Female,Domestic Partnership,0,High School,Full-time Employee,<6 months,Retail,104089,15000,3000,500,Very Poor (300-499),420,Discharged 7+ years ago,0,5,Home Purchase,Medical,50,180,30.0,Suburban,Real Estate,Manual Review
NV0000122,Female,Married,1,High School,Independent Contractor,1-2 years,Other,62642,15000,8000,1500,Good (670-739),705,None,0,20,Debt Consolidation,Business Capital,250,360,20.0,Urban,Vehicle,Approved
NV0000123,Male,Divorced,2,High School,Full-time Employee,10+ years,Government,59863,0,0,200,Very Good (740-799),770,None,1,45,Personal Loan,Major Purchase,20,480,20.0,Rural,Vehicle,Approved
NV0000124,Male,Married,3,No Formal Education,Independent Contractor,5-10 years,Finance,54491,0,5000,800,Poor (500-579),540,None,0,20,Home Refinance,Debt Consolidation,50,360,0.0,Urban,Investment Portfolio,Approved
NV0000125,Male,Widowed,2,Master's Degree,Full-time Employee,6-12 months,Healthcare,51368,0,0,1000,Good (670-739),705,Discharged 7+ years ago,1,5,Auto Loan,Primary Residence,500,360,30.0,Rural,Business Assets,Rejected
NV0000126,Male,Married,2,Master's Degree,Full-time Employee,10+ years,Retail,53184,42000,0,800,Very Good (740-799),770,None,0,85,Personal Loan,Vacation Home,75,240,3.5,Semiurban,Investment Portfolio,Approved
NV0000127,Female,Married,2,Bachelor's Degree,Full-time Employee,2-5 years,Finance,17386,80000,12000,200,Very Poor (300-499),420,None,0,65,Auto Loan,Debt Consolidation,150,360,20.0,Urban,Real Estate,Manual Review
NV0000128,Female,Single,3,Associate Degree,Retired,10+ years,Retail,23571,0,0,800,Fair (580-669),625,None,1,20,Debt Consolidation,Vacation Home,250,84,10.0,Semiurban,None (Unsecured),Rejected
NV0000129,Male,Divorced,0,High School,Government/Military,5-10 years,Legal,66823,0,0,2000,Fair (580-669),625,None,1,45,Auto Loan,Medical,25,480,10.0,Urban,Business Assets,Approved
